candidate_id,headline,skills,experience_years,past_roles,certifications,education,projects,extra_curriculars,location,notice_period
C114,Results-oriented sales rep with strong pipeline generation skills,"Outbound prospecting, HubSpot, Negotiation, Account management",five years,"Telesales Agent, Careem Business (Beirut) — 2021–Present: relevant accomplishment. | Account Executive, Al Noor Real Estate (Beirut) — earlier tenure, 2+ years.",-,"B.A. Business Administration, University of Jordan (2019–2023), GPA: 3.9/4.0",Ran a small dropshipping side business (2021-2022),Toastmasters member,"Beirut, Lebanon",2 months
C101,Data-driven analyst with e-commerce and retail background,"SQL, Python, Tableau, Statistics, A/B testing",3,"Business Intelligence Analyst, Majid Al Futtaim (Cairo) — 2020–Present: relevant accomplishment. | Data Analyst, Noon.com (Cairo) — earlier tenure, 2+ years.",-,"B.Sc. Statistics / B.Sc. Computer Science, Cairo University (2018–2019)",Built a personal dashboard tracking regional inflation data,-,"Cairo, Egypt",1 month
C118,Recent graduate seeking opportunities,,,,,,,,,
C044,HR generalist with strengths in performance management and compliance,"Recruitment, Onboarding, Employee engagement, Workday",4,"HR Generalist, DP World (Doha) — 2023–Present: relevant accomplishment. | HR Business Partner, Etisalat (Doha) — earlier tenure, 2+ years.",-,"B.A. Human Resources Management, University of Jordan (2016–2021), GPA: 3.6/4.0",-,Volunteer career counselor at a local university,"Doha, Qatar",Negotiable
C014,B2B Sales Executive pivoting into tech sales,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",2,"Telesales Agent, Talabat (Riyadh) — 2023–Present: relevant accomplishment. | Telesales Agent, Gulf Retail Group (Riyadh) — earlier tenure, 2+ years.",Salesforce Trailhead – Sales Cloud Basics,"B.A. Business Administration, University of Jordan (2010–2014), GPA: 2.8/4.0",-,Volunteer at a local youth sports club,"Riyadh, Saudi Arabia",2 months
C007,Software Engineer specializing in backend and cloud infrastructure,"Node.js, Express, MongoDB, AWS Lambda, Docker, GraphQL",9,"Software Engineer, Souq Digital (Cairo) — 2022–Present: relevant accomplishment. | Software Engineer, PayFlow (Cairo) — earlier tenure, 2+ years.",AWS Certified Developer – Associate,"B.Sc. Computer Science, Alexandria University (2012–2017)",-,"Hackathon winner, regional university competition","Cairo, Egypt",90 days notice
C029,Senior finance professional with IFRS and budgeting expertise,"Corporate finance, Treasury, Cash flow forecasting, IFRS 9",9,"Finance Manager, Gulf Manufacturing Co. (Abu Dhabi) — 2020–Present: relevant accomplishment. | Senior Financial Analyst, Landmark Group (Abu Dhabi) — earlier tenure, 2+ years.",-,"MBA / B.Com Accounting, Qatar University (2018–2018), GPA: 3.8/4.0",Built an internal budgeting dashboard using Power BI,"Board member, local finance professionals' networking group","Abu Dhabi, UAE",2 months
C048,People-focused HR Business Partner with GCC experience,"Recruitment, Onboarding, Employee engagement, Workday",4,"HR Generalist, Majid Al Futtaim (Sharjah) — 2023–Present: relevant accomplishment. | HR Generalist, DP World (Sharjah) — earlier tenure, 2+ years.",CIPD Level 5,"B.A. Human Resources Management, American University in Cairo (2020–2022), GPA: 3.4/4.0",-,"Member, regional HR professionals network","Sharjah, UAE",Immediate
C023,Senior finance professional with IFRS and budgeting expertise,"Financial analysis, Excel/advanced, Oracle ERP, Variance analysis",3,"Financial Controller, Al Futtaim Retail Group (Sharjah) — 2022–Present: relevant accomplishment. | Financial Controller, Gulf Manufacturing Co. (Sharjah) — earlier tenure, 2+ years.",CPA,"MBA / B.Com Accounting, King Saud University (2011–2020), GPA: 4.0/4.0",-,"Board member, local finance professionals' networking group","Sharjah, UAE",2 weeks notice
C051,Product marketer with 10 years driving GTM strategy,"Go-to-market strategy, Positioning, Content creation, Figma",10,"Growth Marketing Specialist, Property Finder (Amman) — 2020–Present: relevant accomplishment. | Product Marketing Manager, Kitopi (Amman) — earlier tenure, 2+ years.",-,"B.A. Marketing / Communications, American University in Cairo (2011–2015), GPA: 3.3/4.0",Led a rebrand project for a regional D2C startup,Panelist at a regional marketing conference,"Amman, Jordan",2 weeks notice
C017,Results-oriented sales rep with strong pipeline generation skills,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",2,"Sales Executive, STC (Beirut) — 2022–Present: relevant accomplishment. | Telesales Agent, Talabat (Beirut) — earlier tenure, 2+ years.",Salesforce Trailhead – Sales Cloud Basics,"B.A. Business Administration, King Saud University (2017–2024), GPA: 3.4/4.0",-,-,"Beirut, Lebanon",60 days
C070,Detail-oriented support agent with strong troubleshooting skills,"Customer support, Ticketing systems, Product knowledge, Empathy",9,"Customer Support Specialist, Instashop (Riyadh) — 2021–Present: relevant accomplishment. | Support Agent, Fetchr (Riyadh) — earlier tenure, 2+ years.",-,"B.A. English Literature / B.A. Communications, King Fahd University of Petroleum & Minerals (2012–2020), GPA: 2.8/4.0",-,Volunteer translator for a local NGO,"Riyadh, Saudi Arabia",2 months
C108,"Talent acquisition specialist, tech and startup focus ","Technical hiring, Boolean search, Interview coordination",8,"Recruiter, Noon.com (Alexandria) — 2020–Present: relevant accomplishment. | Recruiter, Bayut (Alexandria) — earlier tenure, 2+ years.",LinkedIn Certified Professional Recruiter,"B.A. Human Resources / Psychology, Cairo University (2016–2016), GPA: 2.6/4.0",-,Volunteer mentor for a regional women-in-tech program,"Alexandria,Egypt",30 days notice
C090,"Talent acquisition specialist, tech and startup focus","Employer branding, Pipeline management, Greenhouse/Lever",9,"Recruiter, Bayut (Dubai) — 2021–Present: relevant accomplishment. | Recruiter, Noon.com (Dubai) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, University of Jordan (2013–2020), GPA: 3.4/4.0",-,-,"Dubai, UAE",Immediate
C077,Site reliability-minded DevOps engineer,"CI/CD pipelines, Docker, Kubernetes, AWS, Terraform",1,"Cloud Infrastructure Engineer, Souq Digital (Abu Dhabi) — 2022–Present: relevant accomplishment. | Cloud Infrastructure Engineer, PayFlow (Abu Dhabi) — earlier tenure, 2+ years.",-,"B.Sc. Computer Engineering, King Saud University (2019–2015), GPA: 2.5/4.0","Migrated legacy infra to Kubernetes, cut deployment time by 40%",-,"Abu Dhabi, UAE",Immediate
C041,People-focused HR Business Partner with GCC experience,"Employee relations, UAE labor law, Performance management, HRIS",6,"HR Generalist, Etisalat (Doha) — 2020–Present: relevant accomplishment. | HR Generalist, DP World (Doha) — earlier tenure, 2+ years.",SHRM-CP,"B.A. Human Resources Management, Cairo University (2016–2018), GPA: 3.9/4.0",-,Volunteer career counselor at a local university,"Doha, Qatar",Immediate
C081,"Talent acquisition specialist, tech and startup focus","Full-cycle recruiting, ATS tools, Sourcing, LinkedIn Recruiter",4,"Technical Recruiter, Property Finder (Riyadh) — 2020–Present: relevant accomplishment. | Talent Acquisition Specialist, Noon.com (Riyadh) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, Cairo University (2014–2024), GPA: 2.9/4.0",-,-,"Riyadh, Saudi Arabia",2 weeks notice
C046,People-focused HR Business Partner with GCC experience,"Recruitment, Onboarding, Employee engagement, Workday",3,"HR Business Partner, Majid Al Futtaim (Cairo) — 2021–Present: relevant accomplishment. | HR Business Partner, Aldar Properties (Cairo) — earlier tenure, 2+ years.",SHRM-CP,"B.A. Human Resources Management, Qatar University (2013–2021), GPA: 3.9/4.0",Led an internal employee engagement survey initiative,-,"Cairo, Egypt",Available immediately
C095,Legal counsel with 6 years in UAE commercial law,"Corporate governance, M&A support, Regulatory compliance",6,"Legal Advisor, Chalhoub Group (Riyadh) — 2020–Present: relevant accomplishment. | Legal Advisor, Aldar Properties (Riyadh) — earlier tenure, 2+ years.","LLM, Commercial Law","LLB / LLM, American University in Cairo (2013–2018), GPA: 2.8/4.0",-,-,"Riyadh, Saudi Arabia",Available immediately
C091,In-house counsel with contract and compliance expertise,"Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",2,"Legal Counsel, Emirates Group (Abu Dhabi) — 2020–Present: relevant accomplishment. | Legal Counsel, Aldar Properties (Abu Dhabi) — earlier tenure, 2+ years.",UAE Bar Qualification,"LLB / LLM, United Arab Emirates University (2010–2014), GPA: 4.0/4.0",-,Pro bono legal aid volunteer,"Abu Dhabi, UAE",90 days notice
C076,Site reliability-minded DevOps engineer,"Azure, Jenkins, Ansible, Monitoring (Datadog/Prometheus)",10,"Site Reliability Engineer, Barq Systems (Abu Dhabi) — 2021–Present: relevant accomplishment. | DevOps Engineer, NileTech Solutions (Abu Dhabi) — earlier tenure, 2+ years.",HashiCorp Terraform Associate,"B.Sc. Computer Engineering, King Fahd University of Petroleum & Minerals (2018–2022)",-,-,"Abu Dhabi, UAE",2 weeks notice
C005,Software Engineer specializing in backend and cloud infrastructure,"Java, Spring Boot, MySQL, Kubernetes, Microservices, Jenkins",9,"Backend Engineer, Barq Systems (Doha) — 2020–Present: relevant accomplishment. | Platform Engineer, PayFlow (Doha) — earlier tenure, 2+ years.",Certified Kubernetes Administrator,"B.Sc. Computer Science, King Saud University (2020–2015), GPA: 3.9/4.0",Contributed to an open-source API gateway project,-,"Doha, Qatar",2 weeks notice
C105,"Bilingual corporate lawyer, GCC cross-border experience","Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",4,"Corporate Lawyer, DP World (Sharjah) — 2023–Present: relevant accomplishment. | Legal Counsel, Majid Al Futtaim (Sharjah) — earlier tenure, 2+ years.","LLM, Commercial Law","LLB / LLM, Qatar University (2010–2020), GPA: 3.2/4.0",-,Guest lecturer at a regional law school,"Sharjah, UAE",45 days
C087,Full-cycle recruiter with a passion for candidate experience,"Employer branding, Pipeline management, Greenhouse/Lever",2,"Recruiter, Kitopi (Dubai) — 2022–Present: relevant accomplishment. | Recruiter, Bayut (Dubai) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, Alexandria University (2012–2017), GPA: 2.6/4.0",-,-,"Dubai, UAE",2 months
C092,In-house counsel with contract and compliance expertise,"Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",8,"Legal Counsel, Aldar Properties (Sharjah) — 2021–Present: relevant accomplishment. | Legal Advisor, Majid Al Futtaim (Sharjah) — earlier tenure, 2+ years.","LLM, Commercial Law","LLB / LLM, American University of Sharjah (2016–2015)",-,-,"Sharjah, UAE",30 days notice
C043,People-focused HR Business Partner with GCC experience,"Recruitment, Onboarding, Employee engagement, Workday",2,"HR Generalist, Majid Al Futtaim (Amman) — 2022–Present: relevant accomplishment. | HR Generalist, Emirates Group (Amman) — earlier tenure, 2+ years.",CIPD Level 5,"B.A. Human Resources Management, American University of Sharjah (2020–2016), GPA: 2.6/4.0",-,-,"Amman, Jordan",Immediate
C086,Technical recruiter with 1 years sourcing engineering talent,"Full-cycle recruiting, ATS tools, Sourcing, LinkedIn Recruiter",1,"Technical Recruiter, Noon.com (Riyadh) — 2021–Present: relevant accomplishment. | Talent Acquisition Specialist, Careem (Riyadh) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, Qatar University (2019–2016), GPA: 3.5/4.0",-,-,"Riyadh, Saudi Arabia",Negotiable
C124,Customer support specialist with Ã©xperience in SaaS,"Customer support, Ticketing systems, Product knowledge, Empathy",1,"Customer Support Specialist, Instashop (Abu Dhabi) — 2022–Present: relevant accomplishment. | Customer Support Specialist, Fetchr (Abu Dhabi) — earlier tenure, 2+ years.",Zendesk Support Certified,"B.A. English Literature / B.A. Communications, United Arab Emirates University (2014–2020), GPA: 3.4/4.0",-,Volunteer translator for a local NGO,"Abu Dhabi, UAE",2 months
C037,Analytics professional with 5 years in SQL and Python,"SQL, Python, Tableau, Statistics, A/B testing",5,"Reporting Analyst, Majid Al Futtaim (Riyadh) — 2022–Present: relevant accomplishment. | Data Analyst, Careem (Riyadh) — earlier tenure, 2+ years.",-,"B.Sc. Statistics / B.Sc. Computer Science, King Fahd University of Petroleum & Minerals (2014–2014)",-,Guest lecturer at a coding bootcamp,"Riyadh, Saudi Arabia",60 days
C106,B2B Sales Executive pivoting into tech sales ,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",2,"Telesales Agent, Talabat (Riyadh) — 2023–Present: relevant accomplishment. | Telesales Agent, Gulf Retail Group (Riyadh) — earlier tenure, 2+ years.",Salesforce Trailhead – Sales Cloud Basics,"B.A. Business Administration, University of Jordan (2010–2014), GPA: 2.8/4.0",-,Volunteer at a local youth sports club,"Riyadh,Saudi Arabia",2 months
C021,Finance leader with 3 years across retail and manufacturing,"Financial Modeling, IFRS, Budgeting & Forecasting, SAP FICO, Team Leadership",3,"Financial Controller, Chalhoub Group (Abu Dhabi) — 2020–Present: relevant accomplishment. | Finance Manager, Landmark Group (Abu Dhabi) — earlier tenure, 2+ years.",CPA,"MBA / B.Com Accounting, Lebanese American University (2013–2018), GPA: 4.0/4.0",-,-,"Abu Dhabi, UAE",60 days
C049,HR professional with 10 years in employee relations and UAE labor law,"Employee relations, UAE labor law, Performance management, HRIS",10,"HR Generalist, Etisalat (Alexandria) — 2020–Present: relevant accomplishment. | HR Generalist, DP World (Alexandria) — earlier tenure, 2+ years.",CIPD Level 5,"B.A. Human Resources Management, Cairo University (2017–2023), GPA: 2.7/4.0",Led an internal employee engagement survey initiative,Volunteer career counselor at a local university,"Alexandria, Egypt",2 months
C001,Backend Engineer with 4+ years building scalable systems,"Java, Spring Boot, MySQL, Kubernetes, Microservices, Jenkins",4,"Platform Engineer, PayFlow (Sharjah) — 2020–Present: relevant accomplishment. | Backend Engineer, Barq Systems (Sharjah) — earlier tenure, 2+ years.",AWS Certified Developer – Associate,"B.Sc. Computer Science, Qatar University (2016–2015), GPA: 2.8/4.0",Personal project: expense-tracking app using Django + React,Mentor at a local coding bootcamp (weekends),"Sharjah, UAE",90 days notice
C074,DevOps engineer with 4 years automating infrastructure at scale,"CI/CD pipelines, Docker, Kubernetes, AWS, Terraform",4,"DevOps Engineer, Barq Systems (Dubai) — 2023–Present: relevant accomplishment. | Cloud Infrastructure Engineer, Fintech Gulf (Dubai) — earlier tenure, 2+ years.",Certified Kubernetes Administrator,"B.Sc. Computer Engineering, King Fahd University of Petroleum & Minerals (2020–2018), GPA: 3.4/4.0",-,Speaker at a regional DevOps meetup,"Dubai, UAE",45 days
C035,Data analyst with a passion for turning numbers into decisions,"Python, Pandas, SQL, Google Analytics, Looker",7,"Data Analyst, Property Finder (Dubai) — 2020–Present: relevant accomplishment. | Data Analyst, Careem (Dubai) — earlier tenure, 2+ years.",Microsoft Certified: Data Analyst Associate,"B.Sc. Statistics / B.Sc. Computer Science, United Arab Emirates University (2017–2022), GPA: 3.9/4.0",Built a personal dashboard tracking regional inflation data,Guest lecturer at a coding bootcamp,"Dubai, UAE",2 weeks notice
C089,Technical recruiter with 3 years sourcing engineering talent,"Employer branding, Pipeline management, Greenhouse/Lever",3,"Talent Acquisition Specialist, Kitopi (Riyadh) — 2020–Present: relevant accomplishment. | Technical Recruiter, Careem (Riyadh) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, United Arab Emirates University (2019–2017), GPA: 2.8/4.0",Built an internal referral program that lifted hires by 20%,-,"Riyadh, Saudi Arabia",2 weeks notice
C079,Site reliability-minded DevOps engineer,"Azure, Jenkins, Ansible, Monitoring (Datadog/Prometheus)",3,"Site Reliability Engineer, Fintech Gulf (Dubai) — 2020–Present: relevant accomplishment. | Site Reliability Engineer, Barq Systems (Dubai) — earlier tenure, 2+ years.",AWS Certified DevOps Engineer,"B.Sc. Computer Engineering, King Fahd University of Petroleum & Minerals (2020–2019)",Open-source contributor to a Terraform module registry,-,"Dubai, UAE",30 days notice
C066,"Bilingual customer success professional, Arabic/English","Zendesk, Troubleshooting, Written communication, Arabic + English bilingual",1,"Customer Support Specialist, Instashop (Riyadh) — 2021–Present: relevant accomplishment. | Support Agent, Careem (Riyadh) — earlier tenure, 2+ years.",-,"B.A. English Literature / B.A. Communications, University of Jordan (2013–2015)",Created an internal FAQ knowledge base used by the support team,-,"Riyadh, Saudi Arabia",Available immediately
C059,B2B marketing professional with SaaS positioning experience,"Go-to-market strategy, Positioning, Content creation, Figma",9,"Growth Marketing Specialist, Noon.com (Dubai) — 2020–Present: relevant accomplishment. | Marketing Manager, Property Finder (Dubai) — earlier tenure, 2+ years.",Google Ads Certified,"B.A. Marketing / Communications, Alexandria University (2014–2017)","Ran a personal newsletter with 3,000+ subscribers",-,"Dubai, UAE",2 months
C099,"Bilingual corporate lawyer, GCC cross-border experience","Commercial contracts, Dispute resolution, GCC regulatory frameworks",7,"Legal Advisor, Emirates Group (Sharjah) — 2020–Present: relevant accomplishment. | Legal Advisor, Chalhoub Group (Sharjah) — earlier tenure, 2+ years.",-,"LLB / LLM, Alexandria University (2013–2016), GPA: 3.5/4.0",Advised on a cross-border JV structuring project,Guest lecturer at a regional law school,"Sharjah, UAE",2 weeks notice
C093,Legal counsel with 3 years in UAE commercial law,"Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",3,"Legal Advisor, Aldar Properties (Amman) — 2022–Present: relevant accomplishment. | Legal Advisor, Majid Al Futtaim (Amman) — earlier tenure, 2+ years.",UAE Bar Qualification,"LLB / LLM, King Saud University (2013–2018)",Advised on a cross-border JV structuring project,Guest lecturer at a regional law school,"Amman, Jordan",60 days
C096,"Bilingual corporate lawyer, GCC cross-border experience","Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",4,"Corporate Lawyer, Chalhoub Group (Sharjah) — 2021–Present: relevant accomplishment. | Legal Advisor, Emirates Group (Sharjah) — earlier tenure, 2+ years.",-,"LLB / LLM, Lebanese American University (2013–2017), GPA: 3.9/4.0",Advised on a cross-border JV structuring project,-,"Sharjah, UAE",Negotiable
C060,B2B marketing professional with SaaS positioning experience,"Digital marketing, SEO/SEM, Campaign management, HubSpot",7,"Growth Marketing Specialist, Careem (Amman) — 2021–Present: relevant accomplishment. | Product Marketing Manager, Kitopi (Amman) — earlier tenure, 2+ years.",HubSpot Content Marketing Certified,"B.A. Marketing / Communications, American University in Cairo (2020–2015)",Led a rebrand project for a regional D2C startup,-,"Amman, Jordan",45 days
C004,"Full-stack leaning backend developer, fintech & e-commerce background","Java, Spring Boot, MySQL, Kubernetes, Microservices, Jenkins",8,"Platform Engineer, Souq Digital (Sharjah) — 2023–Present: relevant accomplishment. | Software Engineer, NileTech Solutions (Sharjah) — earlier tenure, 2+ years.",AWS Certified Solutions Architect,"B.Sc. Computer Science, King Saud University (2019–2018), GPA: 3.5/4.0",-,-,"Sharjah, UAE",1 month
C036,Data-driven analyst with e-commerce and retail background,"Python, Pandas, SQL, Google Analytics, Looker",1,"Business Intelligence Analyst, Careem (Alexandria) — 2021–Present: relevant accomplishment. | Data Analyst, Talabat (Alexandria) — earlier tenure, 2+ years.",Microsoft Certified: Data Analyst Associate,"B.Sc. Statistics / B.Sc. Computer Science, Qatar University (2018–2015), GPA: 3.8/4.0",-,Guest lecturer at a coding bootcamp,"Alexandria, Egypt",Available immediately
C032,Data analyst with a passion for turning numbers into decisions,"SQL, R, Power BI, Data visualization, Excel/advanced",3,"Business Intelligence Analyst, Careem (Abu Dhabi) — 2021–Present: relevant accomplishment. | Business Intelligence Analyst, Noon.com (Abu Dhabi) — earlier tenure, 2+ years.",-,"B.Sc. Statistics / B.Sc. Computer Science, Qatar University (2010–2015), GPA: 3.5/4.0","Kaggle competition, top 15% finish",-,"Abu Dhabi, UAE",60 days
C031,Data-driven analyst with e-commerce and retail background,"SQL, Python, Tableau, Statistics, A/B testing",3,"Business Intelligence Analyst, Majid Al Futtaim (Cairo) — 2020–Present: relevant accomplishment. | Data Analyst, Noon.com (Cairo) — earlier tenure, 2+ years.",-,"B.Sc. Statistics / B.Sc. Computer Science, Cairo University (2018–2019)",Built a personal dashboard tracking regional inflation data,-,"Cairo, Egypt",1 month
C009,Backend Engineer with 2+ years building scalable systems,"Python, Django, PostgreSQL, AWS, Docker, REST API design, Git, CI/CD",2,"Software Engineer, LogiTrack (Cairo) — 2020–Present: relevant accomplishment. | Platform Engineer, PayFlow (Cairo) — earlier tenure, 2+ years.",Certified Kubernetes Administrator,"B.Sc. Computer Science, Cairo University (2019–2023), GPA: 2.7/4.0",Contributed to an open-source API gateway project,Occasional speaker at a regional Python meetup,"Cairo, Egypt",1 month
C053,Product marketer with 6 years driving GTM strategy,"Brand strategy, Social media, Analytics, Adobe Creative Suite",6,"Marketing Manager, Property Finder (Amman) — 2022–Present: relevant accomplishment. | Growth Marketing Specialist, Bayut (Amman) — earlier tenure, 2+ years.",Google Ads Certified,"B.A. Marketing / Communications, University of Jordan (2016–2015), GPA: 3.2/4.0",-,-,"Amman, Jordan",Immediate
C067,"Bilingual customer success professional, Arabic/English","Live chat support, CRM tools, Escalation handling",2,"Customer Support Specialist, Careem (Beirut) — 2022–Present: relevant accomplishment. | Customer Success Associate, Noon.com (Beirut) — earlier tenure, 2+ years.",Zendesk Support Certified,"B.A. English Literature / B.A. Communications, University of Jordan (2010–2017), GPA: 2.6/4.0",Created an internal FAQ knowledge base used by the support team,Volunteer translator for a local NGO,"Beirut, Lebanon",90 days notice
C054,B2B marketing professional with SaaS positioning experience,"Digital marketing, SEO/SEM, Campaign management, HubSpot",8,"Product Marketing Manager, Property Finder (Sharjah) — 2023–Present: relevant accomplishment. | Growth Marketing Specialist, Noon.com (Sharjah) — earlier tenure, 2+ years.",HubSpot Content Marketing Certified,"B.A. Marketing / Communications, King Fahd University of Petroleum & Minerals (2018–2015)",Led a rebrand project for a regional D2C startup,Panelist at a regional marketing conference,"Sharjah, UAE",2 months
C034,Analytics professional with 4 years in SQL and Python,"Python, Pandas, SQL, Google Analytics, Looker",4,"Business Intelligence Analyst, Talabat (Beirut) — 2023–Present: relevant accomplishment. | Reporting Analyst, Careem (Beirut) — earlier tenure, 2+ years.",Google Data Analytics Certificate,"B.Sc. Statistics / B.Sc. Computer Science, Qatar University (2018–2016), GPA: 3.4/4.0",-,Guest lecturer at a coding bootcamp,"Beirut, Lebanon",2 weeks notice
